features	order	value
IRF4 x BATF x ID2	3	-0.247396
TBX21 x ZNF683 x IKZF2	3	-0.241667
IRF4 x BATF x ZNF683	3	-0.217708
NR4A1 x BATF x BHLHE40	3	0.206250
RUNX3 x BATF x ID2	3	0.192187
TBX21 x BATF x IKZF2	3	-0.184896
NR4A1 x TOX x BHLHE40	3	0.179167
RUNX3 x BATF	2	-0.178125
RUNX3 x NR4A1 x BHLHE40	3	0.177083
RUNX3 x IRF4 x BHLHE40	3	0.170833
NR4A1 x PRDM1 x BHLHE40	3	0.166667
TBX21 x BATF x TOX	3	-0.163021
IRF4 x BHLHE40 x ID2	3	0.158854
TBX21 x BATF x ID2	3	-0.155729
BATF x TOX x ZNF683	3	-0.155208
RUNX3 x TOX x ID2	3	0.154687
IRF4 x TOX x IKZF2	3	0.152083
IRF4 x TOX x BHLHE40	3	0.150521
IKZF2	1	-0.150000
NR4A1 x IRF4 x BHLHE40	3	0.150000
RUNX3 x NR4A1 x IKZF2	3	-0.144271
BATF x IKZF2 x ID2	3	-0.143229
RUNX3 x IKZF2	2	0.142708
RUNX3 x PRDM1 x BHLHE40	3	-0.141667
IRF4 x IKZF2 x ID2	3	0.141667
BATF x PRDM1	2	-0.138542
NR4A1 x PRDM1 x ZNF683	3	0.138021
IRF4 x TOX	2	-0.136979
TBX21 x BATF	2	0.135417
TOX x BHLHE40 x IKZF2	3	0.133854
ZNF683 x IKZF2	2	0.132813
RUNX3 x TBX21 x IKZF2	3	-0.131771
TBX21 x ZNF683	2	0.130729
NR4A1 x IKZF2	2	0.130208
NR4A1 x BHLHE40	2	-0.129167
TBX21 x ZNF683 x ID2	3	-0.125000
NR4A1 x BHLHE40 x ZNF683	3	0.124479
IRF4 x ZNF683 x IKZF2	3	-0.122396
TBX21 x TOX	2	0.122396
NR4A1 x IRF4 x PRDM1	3	0.121354
RUNX3 x ID2	2	-0.120833
NR4A1 x PRDM1	2	-0.119792
TBX21 x PRDM1 x IKZF2	3	-0.119792
NR4A1 x PRDM1 x ID2	3	0.117708
NR4A1 x BATF x PRDM1	3	0.117708
TBX21 x PRDM1 x TOX	3	-0.117708
TBX21 x BATF x ZNF683	3	-0.115104
TBX21 x TOX x IKZF2	3	-0.115104
RUNX3 x TOX x IKZF2	3	-0.113021
TBX21 x IRF4 x ZNF683	3	-0.110417
